INFO:root:Light: yellow, Obstacle: True, Speed: 93, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 5, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 88, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 23, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 73, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 49, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 2, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 59, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 91, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 89, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 99, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 37, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 73, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 92, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 10, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 38, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 22, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 38, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 38, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 49, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 0, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 15, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 15, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 59, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 82, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
